project,mode,city,year,mode_full,length_miles,at_grade_miles,elevated_miles,below_grade_miles,tunnel_miles,tunnel_pct,project_cost,cost_per_mile,hard_costs_row,hard_costs,soft_costs,soft_hard_pct,vehicles,avg_cost_per_vehicle,stations,avg_cost_per_station,vehicle_costs,row_costs,systems_costs,sitework_costs,facilities_costs,station_costs,guideway_costs,soft_costs_pct,vehicle_costs_pct,row_costs_pct,systems_costs_pct,sitework_costs_pct,facilities_costs_pct,station_costs_pct,guideway_costs_pct,soft_costs_per_mile,row_costs_per_mile,system_costs_per_mile,sitework_costs_per_mile,facility_costs_per_mile,guideway_costs_per_mile,length_km,at_grade_km,elevated_km,below_grade_km,tunnel_km,cost_per_km,soft_costs_per_km,row_costs_per_km,system_costs_per_km,sitework_costs_per_km,facility_costs_per_km,guideway_costs_per_km,vehicle_costs_per_km,row_costs_per_km_direct,systems_costs_per_km,sitework_costs_per_km_direct,facilities_costs_per_km,station_costs_per_km,guideway_costs_per_km_direct,soft_costs_per_km_direct,hard_costs_per_km,project_cost_2023,cost_per_mile_2023,hard_costs_+_row_2023,hard_costs_2023,soft_costs_2023,avg_cost_per_vehicle_2023,avg_cost_per_station_2023,vehicle_costs_2023,row_costs_2023,systems_costs_2023,sitework_costs_2023,facilities_costs_2023,station_costs_2023,guideway_costs_2023,soft_costs_per_mile_2023,row_costs_per_mile_2023,system_costs_per_mile_2023,sitework_costs_per_mile_2023,facility_costs_per_mile_2023,guideway_costs_per_mile_2023,cost_per_km_2023,soft_costs_per_km_2023,row_costs_per_km_2023,system_costs_per_km_2023,sitework_costs_per_km_2023,facility_costs_per_km_2023,guideway_costs_per_km_2023,vehicle_costs_per_km_2023,row_costs_per_km_direct_2023,systems_costs_per_km_2023,sitework_costs_per_km_direct_2023,facilities_costs_per_km_2023,station_costs_per_km_2023,guideway_costs_per_km_direct_2023,soft_costs_per_km_direct_2023,hard_costs_per_km_2023
Los Angeles - Red Line Segment 1,HRT,"Los Angeles, CA",1988,Heavy Rail Transit,3.35,0.51,0.0,2.84,2.46,0.73,3243546100,967566294,1888819789,1563826466,1229663234,0.79,30,4168769.0,5,153155542.0,125063077,324993323,197796647,44266832,122077045,765777712,433908230,0.38,0.04,0.1,0.06,0.01,0.04,0.24,0.13,366814795,96947161,59003746,13205021,36416203,129437031,5.391289,0.8207634,0.0,4.5705256,3.9589764,601219315.9928916,227928713.01278785,60240322.740999416,36663319.12461009,8205240.036288168,22628035.7165049,80428642.17629588,23197249.674428508,60281191.195649125,36688192.19299874,8210806.729151414,22643387.32351391,142039818.6778709,80483207.26267873,228083345.9308154,290065412.1862137,3647322521.9109125,1088014853.7269366,2123951608.4728124,1758501132.3878362,1382739221.0439088,4687722.817426283,172221278.95517585,140631692.39419124,365450476.08497614,222419581.260634,49777437.517304495,137273940.89969367,861106397.0248514,487923775.68535256,412478140.2594014,109015735.50954717,66348892.547854,14848862.636978261,40949514.287581645,145550142.893169,676062767.1759458,256302670.82120705,67739405.91145884,41227392.93614401,9226678.412876248,25444911.757354967,90440890.60929883,26084984.944081318,67785361.9208646,41255362.355947524,9232938.081654403,25462174.42613328,159721802.52716026,90502248.29078028,256476553.38897777,326174525.68167573
Los Angeles - Red Line Segment 2A and 2B,HRT,"Los Angeles, CA",1994,Heavy Rail Transit,6.65,0.0,0.0,6.65,6.65,1.0,3179375848,477911077,2043623925,1880895652,1030271090,0.55,30,3516028.0,8,154860063.0,105480832,162728273,165400492,110355367,3662300,1238880506,362596988,0.32,0.03,0.05,0.05,0.03,,0.39,0.11,154866235,24460664,24862341,16588178,550502,54504131,10.702111,0.0,0.0,10.702111,10.702111,296960913.7907465,96229656.25660208,15199189.72995141,15448780.866690693,10307441.559894118,342066.93427119195,33867381.03818957,9856077.179539625,15205249.973579979,15454940.80560368,10311551.337862222,342203.5148018928,115760386.52561162,33880884.62173491,96268025.06533524,175749966.7121748,3575163965.152216,537404365.7381037,2298026708.474554,2115041026.5184484,1158525525.5754511,3953724.632453777,174137989.13616267,118611729.97772446,182985681.95610583,185990555.0923866,124093076.85586596,4118205.464073513,1393103915.3382735,407735274.89233494,174144929.46440563,27505676.798641913,27957357.004029963,18653175.676111747,619031.8500350591,61289138.00037642,333928421.4262392,108208911.39498529,17091277.66577722,17371939.43108974,11590574.817075165,384649.5147296775,38083399.406201564,11083021.842861138,17098092.32553333,17378866.196807954,11595196.205296876,384803.09763872874,130170946.21222611,38098583.99827239,108252056.58728929,197628395.6051706
Los Angeles - Red Line Segment 3,HRT,"Los Angeles, CA",1998,Heavy Rail Transit,6.46,0.0,0.0,6.46,6.46,1.0,2169574332,336012920,1298121842,1164818278,771334893,0.66,30,3337253.0,3,147583967.0,100117597,133303564,99728959,65059609,53002,442751902,557224806,0.36,0.05,0.06,0.05,0.03,,0.2,0.26,119460526,20645395,15445527,10076110,8209,86300216,10.3963364,0.0,0.0,10.3963364,10.3963364,208789267.65009257,74229513.96224539,12828485.590366237,9597429.38098848,6261020.045484484,5100.848795158264,53624601.38938944,9630084.401655184,12822167.239605676,9592702.19459232,6257936.112956099,5098.1420724323625,42587300.46480605,53598189.26213277,74192952.52893126,112041226.17655967,2439656191.124715,377841859.79938734,1459719974.5399268,1309821969.0119052,867355369.8449496,3752694.6289478536,165956120.2820755,112580846.73983835,149898005.52802154,112143828.70877956,73158626.34800161,59600.012562276264,497868361.9707126,626591551.9718492,134331701.63948774,23215459.819500312,17368280.503206994,11330445.692216849,9230.906439827286,97043393.79131268,234780630.4443979,83470057.06655383,14425453.800626537,10792175.987179214,7040430.047234798,5735.833596273806,60300119.173892826,10828896.104192855,14418348.902986782,10786860.33175875,7036962.207956413,5732.789924177162,47888827.64227528,60270419.10377672,83428944.24279591,125988802.07569134
Los Angeles - East Side Extension,LRT,"Los Angeles, CA",2009,Light Rail Transit,6.0,4.09,0.21,1.7,1.7,0.28,1106528447,184421408,865324609,817746198,212923841,0.26,10,2828000.0,8,15531974.0,28279998,47578411,118921821,113541970,1554764,124255794,459471849,0.19,0.03,0.04,0.11,0.1,,0.11,0.42,35487307,7929735,19820304,18923662,259127,76578642,9.65604,6.5822006,0.33796139999999997,2.735878,2.735878,114594434.98577057,22050845.066921845,4927321.137857756,12315796.537711112,11758647.644375956,161014.45312985446,47583880.34846583,2928736.624951843,4927321.241419878,12315796.227024741,11758647.43725171,161014.66025410002,12868193.793729106,47583880.03777946,22050844.963359717,84687532.15603912,1244275863.96204,207379310.84775436,973045499.5442964,919544237.4543159,239429900.72842747,3180046.7062774473,17465488.953566816,31800464.813802265,53501262.08998044,133725935.35203896,127676367.65302432,1748310.5152895153,139723913.87750673,516669710.0564564,39904983.642152265,8916876.82758239,22287656.454249546,21279394.98366609,291384.71105288406,86111618.90498579,128859849.90602008,24795868.891689926,5540704.156724116,13848942.08448777,13222435.895252766,181058.51532484376,53507412.29633625,3293323.6413480327,5540704.273178283,13848941.735125262,13222435.66234443,181058.74823317997,14470105.123581378,53507411.94697374,24795868.775235754,95229953.21625799
Miami Dade - Metrorail,HRT,"Miami, FL",1982,Heavy Rail Transit,21.0,0.5,20.5,0.0,0.0,0.0,2971542172,141502008,2090932539,1752935731,577016878,0.33,136,2232300.0,21,27741554.0,303592755,337996808,297072448,149622988,110094662,582572628,613573006,0.19,0.1,0.11,0.1,0.05,0.04,0.2,0.21,27476994,16095086,14146307,7124904,5242603,29217762,33.79614,0.80467,32.99147,0.0,0.0,87925489.95240285,17073454.95669032,10001047.634433992,8790129.494078318,4427221.096847155,3257610.5732784867,18155120.73272273,8983060.04768592,10001047.693612346,8790129.523667496,4427221.215203866,3257610.5436893087,17237845.150363326,18155120.85107944,17073455.07504703,51867927.25441426,3341457884.240853,159117041.89251944,2351224587.586736,1971151873.2965345,648847461.9343691,2510190.333247223,31194992.017226998,341385834.71974754,380072714.29020184,334053840.0948297,168248971.06534302,123799917.70573863,655094825.6148503,689954319.940259,30897497.97316308,18098700.57339189,15907325.665254455,8011855.550828504,5895234.230010701,32854967.402014982,98870991.76837675,19198862.871216197,11246039.105093945,9884378.481398867,4978348.609261253,3663137.826693366,20415181.00713024,10101326.208251817,11246039.171639182,9884378.514671488,4978348.74235173,3663137.7934207465,19383717.359877497,20415181.140220717,19198863.004306678,58324763.51726956
Minneapolis - Hiawatha Corridor,LRT,"Minneapolis, MN",2002,Light Rail Transit,11.6,8.38,0.0,3.22,3.22,0.28,1012903450,87319263,794804984,720960764,105566839,0.15,26,4328139.0,17,3758367.0,112531627,73844220,156429860,22405318,55198752,63892236,423034597,0.1,0.11,0.07,0.15,0.02,0.05,0.06,0.42,9100590,6365881,13485333,1931493,4758513,36468500,18.668343999999998,13.4862692,0.0,5.1820748000000005,5.1820748000000005,54257809.41255421,5654858.513427865,3955584.8981570085,8379418.270843948,1200177.0912299452,2956810.2451936817,22660531.646513477,6027938.364538387,3955584.919583655,8379418.120857427,1200177.048376653,2956810.3094736207,3422490.821896147,22660531.485813636,5654858.245594789,38619427.8399841,1138995855.7105951,98189297.98363656,893747161.0686349,810710361.7091485,118708443.65419787,4866932.168055504,4226231.470767981,126540250.98776247,83036799.35948628,175903204.05107576,25194468.779702548,62070229.663446136,71845931.62959737,475696526.46084064,10233487.006605897,7158344.733594124,15164069.58617559,2171937.041318227,5350881.751212311,41008321.53743956,61012152.7978156,6358809.826764945,4448000.256996113,9422539.417510029,1349582.463194991,3324892.0372403036,25481452.979134034,6778332.935570637,4448000.281090079,9422539.24885227,1349582.4150070595,3324892.109522202,3848543.375330847,25481452.798429295,6358809.525590373,43427010.00737658
New Orleans - Canal Street Trolley,Trolley,"New Orleans, LA",2004,Street Trolley Line,5.43,5.43,0.0,0.0,0.0,0.0,207778935,38265531,123063257,123063257,46384570,0.38,0,,0,,38331108,0,7790671,298875,30900988,0,84072723,0.22,0.18,,0.04,,0.15,,0.4,8542397,0,1434766,55042,5690869,15483222,8.738716199999999,8.738716199999999,0.0,0.0,0.0,23777157.716828015,5308012.601439099,0.0,891524.4758720966,34201.59817067866,3536150.844445549,9620852.026296495,4386354.599775194,0.0,891512.0735926864,34201.24800482707,3536101.56146277,0.0,9620717.857847359,5307938.71072275,14082532.740907643,233644525.41746315,43029057.92804369,138382922.59074435,138382922.59074435,52158804.473336525,,,43102798.35338229,0.0,8760501.2918109,336080.7847732221,34747731.65138576,0.0,94538608.86277446,9605806.733933644,0.0,1613374.4316049747,61893.96421744104,6399303.11856663,17410668.006952796,26737083.48021157,5968786.417993491,0.0,1002506.8858072095,38459.22192789655,3976352.49143539,10818514.426381497,4932394.801124482,0.0,1002492.9396163366,38458.82817126183,3976297.073406019,0.0,10818363.55582465,5968703.328909633,15835612.397018269
The Tide Light Rail Project,LRT,"Norfolk, VA",2009,Light Rail Transit,7.34,6.17,0.97,0.2,0.0,0.0,399941045,54487881,257375300,237235407,95243827,0.4,9,5257991.0,10,127039.0,47321917,20139893,43604732,70985743,15603132,1270390,105771410,0.24,0.12,0.05,0.11,0.18,0.04,,0.26,12975998,2743855,5940699,9671082,2125767,14410274,11.8125556,9.9296278,1.5610598,0.32186800000000004,0.0,33857283.73121901,8062931.388022419,1704956.6903202555,3691388.39524277,6009346.688704686,1320893.6582698498,8954151.391253557,4006069.355559266,1704956.461749903,3691388.50868139,6009346.783519055,1320893.8462054732,107545.73718154605,8954151.293052962,8062931.530243972,20083326.168640427,449728148.11082405,61270865.101162486,289414948.74192715,266767918.8977156,107100360.09356755,5912537.8222017195,142853.59035317562,53212838.15084326,22647029.844211534,49032915.266870864,79822481.69017233,17545505.135860056,1428535.9035317563,118938480.90128057,14591329.455644535,3085426.8229324277,6680233.4822969325,10874997.33388936,2390395.454972875,16204152.889057828,38072045.12481047,9066654.31521278,1917200.1086982412,4150914.9603545135,6757426.854418184,1485326.5655317553,10068818.825765735,4504769.327887292,1917199.8516740557,4150915.087914665,6757426.961035623,1485326.7768627526,120933.68716349205,10068818.71534053,9066654.47513894,22583421.228317063
Phoenix - Central Phoenix/East Valley,LRT,"Phoenix, AZ",2008,Light Rail Transit,19.7,19.41,0.29,0.0,0.0,0.0,1654600193,83989858,1055539671,876713524,451883825,0.52,50,2943534.0,32,2385409.0,147176697,178826147,181850384,383450982,44771695,76333086,190307377,0.27,0.09,0.11,0.11,0.23,0.03,0.05,0.12,22938265,9077469,9230984,19464517,2272675,9660273,31.703998,31.2372894,0.4667086,0.0,0.0,52189007.91628867,14253212.49704848,5640491.754383785,5735881.79005058,12094720.195856687,1412178.2842655997,6002630.270794239,4642212.537358853,5640491.997255363,5735881.764817169,12094720.104385573,1412178.2054111913,2407680.1291748756,6002630.2360983,14253212.638986414,27653090.43988711,1860574927.141329,94445428.32164446,1186939693.8149683,985852176.2182086,508137082.5004613,3309963.083987157,2682359.276370078,165498150.82589954,201087517.59675977,204488230.08291692,431185301.38895077,50345148.94597188,85835494.59487027,213998001.20549875,25793760.27615603,10207487.763361257,10380113.247842934,21887578.91624165,2555591.459755692,10862842.763575302,58685814.26028338,16027539.411284149,6342654.605839199,6449919.375547078,13600344.809823684,1587974.8591072692,6749874.3357993355,5220103.496912267,6342654.878944914,6449919.347172458,13600344.706965689,1587974.7704365826,2707402.851680418,6749874.296784234,16027539.570891382,31095515.97303938
Pittsburgh - Light Rail Stage I,LRT,"Pittsburgh, PA",1985,Light Rail Transit,15.57,10.35,0.95,4.27,2.03,0.13,1399185439,89876730,920193029,866019377,334442909,0.39,55,2628173.0,12,7194551.0,144549501,54173652,151179091,25281234,93470862,86334616,509753574,0.24,0.1,0.04,0.11,0.02,0.07,0.06,0.36,21482953,3479847,9710995,1623941,6004104,32744040,25.0574238,16.656669,1.528873,6.8718818,3.2669601999999998,55846949.68123578,13348921.296929177,2162282.0535126203,6034147.53874259,1009072.6633278239,3730786.5336100515,20346253.743770737,5768729.545133846,2161980.1154498574,6033305.427032767,1008931.8918730983,3730266.23750523,3445470.5595073984,20343415.11197173,13347058.80658011,34561389.22789022,1573364585.1355426,101065134.09034209,1034744275.4635494,973826756.5068235,376076404.2444477,2955344.0212791082,8090172.634616378,162543905.42754546,60917518.95672583,169998787.26752776,28428396.362209838,105106685.58557773,97082076.11334096,573210811.1781672,24157282.153028008,3913039.6006716606,10919878.9478171,1826099.0906078161,6751531.5238144435,36820218.01704986,62799118.94959554,15010676.52144855,2431456.125288417,6785315.065689724,1134688.1893247021,4195217.619530021,22879079.633296788,6486856.219734188,2431116.600132127,6784368.122772772,1134529.893779816,4194632.553789418,3874383.770982113,22875887.63128025,15008582.176929446,38863801.97260437
Pittsburgh - Light Rail Stage II,LRT,"Pittsburgh, PA",2003,Light Rail Transit,5.45,1.62,1.75,2.08,0.0,0.0,568679879,104392093,325220052,320875696,142728873,0.44,28,3597534.0,11,5120605.0,100730953,4344356,70151223,30367023,25403368,56326653,138627429,0.25,0.18,0.01,0.12,0.05,0.04,0.1,0.24,26200621,797490,12877602,5574449,4663275,25447722,8.770903,2.6071308,2.816345,3.3474272000000003,0.0,64866400.51201113,16280351.572694397,495538.5437508544,8001790.796227025,3463810.6304447786,2897631.9485006277,15812520.660643494,11484673.014853772,495314.564532295,7998175.672447865,3462245.9055812154,2896322.9897765373,6421990.187327348,15805377.051826932,16272996.406413341,36584111.8069599,639472622.3975273,117387458.09973797,365705429.69518393,360820261.73595595,160496634.5383105,4045376.9969664537,5758049.174115215,113270557.0395468,4885167.959227959,78884075.54543307,34147295.42807691,28565734.348215666,63338538.666295156,155884617.74793518,29462234.269262277,896766.4242536073,14480684.52081042,6268390.446167472,5243787.94349928,28615609.804937813,72941366.0877987,18307029.135709222,557226.2071741256,8997902.569258466,3895006.925924585,3258346.8648634097,17780959.775397252,12914355.231102977,556974.3456549409,8993837.412799237,3893247.41455662,3256874.9589655325,7221438.735133105,17772926.886540093,18298758.35342273,41138325.40799459
Pittsburgh - Airport Busway,BRT,"Pittsburgh, PA",2008,Bus Rapid Transit,5.0,3.0,1.0,1.0,1.0,0.2,337009662,67401932,202685493,164900421,134324168,0.81,0,,6,780843.0,0,37785072,0,38864124,0,4685060,121351237,0.4,,0.11,,0.12,,0.01,0.36,26864834,7557014,0,7772825,0,24270247,8.0467,4.82802,1.60934,1.60934,1.60934,41881722.942324184,16693075.422222774,4695722.470080903,0.0,4829821.541750034,0.0,15080869.797556762,0.0,4695722.718629997,0.0,4829821.417475487,0.0,582233.7107137088,15080870.046105858,16693075.17367368,20492925.174295053,378962682.3291287,75792536.0160313,227917020.65943092,185428232.20113665,151045660.54521164,,878047.1040557994,0.0,42488788.45829427,0.0,43702167.43937705,0.0,5268284.873307007,136457779.8884526,30209132.55883677,8497757.241864413,0.0,8740433.71277263,0.0,27291555.527896076,47095415.52191041,18771131.369901184,5280274.672763004,0.0,5431067.2156117605,0.0,16958228.545798946,0.0,5280274.952253007,0.0,5431067.075866759,0.0,654713.7178355112,16958228.82528895,18771131.09041118,23044009.61899122
Pittsburgh - North Shore LRT Connector,LRT,"Pittsburgh, PA",2011,Light Rail Transit,1.2,0.0,0.56,0.64,0.61,0.51,614797693,512331411,478723023,467372927,136074670,0.29,0,,1,145307014.0,0,11350096,50804390,82945329,0,145307014,188316193,0.22,,0.02,0.08,0.13,,0.24,0.31,113395559,9458414,42336992,69121108,0,156930161,1.9312079999999998,0.0,0.9012304000000001,1.0299776,0.9816973999999999,318348770.9247269,70460908.81976463,5877200.591546846,26307052.580560975,42949972.03822685,0.0,97512123.60346478,0.0,5877200.177298355,26307052.373436734,42949971.727540486,0.0,75241514.11965983,97512123.49990267,70460908.40551613,242010662.23835033,691331463.4553124,576109553.0668412,538317387.7334981,525554362.48571426,153014075.72181422,,163395718.2707606,0.0,12763025.247783886,57128830.6520279,93270869.97438093,0.0,163395718.2707606,211758942.46405873,127511730.51783592,10635855.122810643,47607359.251518615,77725725.54089382,0.0,176465785.57412997,357978769.59924024,79232312.9468204,6608830.404271715,29581915.102786615,48296646.78743697,0.0,109651028.10725513,0.0,6608829.938455043,29581914.869878285,48296646.43807447,0.0,84608037.18230279,109651027.99080098,79232312.4810037,272137627.0633274
Portland - MAX Segment I,LRT,"Portland, OR",1984,Light Rail Transit,19.58,14.29,5.24,0.05,0.0,0.0,837980593,42795465,647654812,607082336,124171546,0.2,26,2544394.0,30,1028851.0,66154235,40572476,54804269,212770130,30440441,30865543,278201952,0.15,0.08,0.05,0.07,0.25,0.04,0.04,0.33,6341411,2072026,2798841,10866119,1554586,14207706,31.510877199999996,22.997468599999998,8.4329416,0.08046700000000001,0.0,26591935.203251023,3940379.907291188,1287500.4660295525,1739123.4916176817,6751910.099792462,965977.3571774765,8828281.158735879,2099409.501681534,1287570.5027976818,1739217.49788673,6752275.687203022,966029.6286515313,979520.2718126808,8828759.359323708,3940593.123189856,19265802.476612747,942297533.4844668,48122905.769753106,728278837.236683,682655651.710049,139629178.17209283,2861135.6998486915,1156928.65410193,74389518.07569103,45623185.52663394,61626639.01110085,239257054.84466913,34229852.948968515,34707874.24137727,312834229.5394471,7130828.558593201,2329964.4471786544,3147257.8159279623,12218799.835915415,1748110.3567627412,15976367.987644387,29902261.653692264,4430902.4560336545,1447776.3848401546,1955620.2020256515,7592429.092618971,1086228.1163475346,9927279.498206958,2360756.814338734,1447855.1402127882,1955725.9107690237,7592840.190582481,1086286.8948938218,1101456.9356824276,9927817.228123602,4431142.214349173,21664127.195737008
Portland - Westside/Hillsboro MAX,LRT,"Portland, OR",1996,Light Rail Transit,17.73,14.77,0.0,2.96,2.96,0.17,1673800743,94410330,1101489306,983939446,377411644,0.38,36,5413883.0,20,6175405.0,194899792,117549860,133725163,70269709,33746041,123508092,622690442,0.23,0.12,0.07,0.08,0.04,0.02,0.07,0.37,21287813,6630372,7542736,3963546,1903437,35122705,28.5335982,23.769951799999998,0.0,4.7636464,4.7636464,58664005.12011135,13227666.621099332,4119932.3946462525,4686850.5101470165,2462839.424857395,1182743.8577304983,21824291.32439385,6830536.78102189,4119699.842132073,4686586.040172108,2462700.5857256376,1182677.374352317,4328514.445822679,21823060.57705684,13226920.816457,34483538.98808318,1882165678.8337674,106163104.29811418,1238609419.924021,1106426235.6537328,424394149.7216961,6087836.210156105,6944157.1181680625,219162108.0635642,132183184.27028821,150372087.74560282,79017311.40612613,37946954.21921983,138883133.3674724,700206750.0397977,23937849.93440602,7455761.188116765,8481701.82925047,4456952.405402812,2140388.4591430784,39494993.75912462,65966858.64895807,14874327.323254267,4632806.733267529,5270298.277089036,2769428.7132630837,1329979.0343513978,24541112.356074303,7680843.703180912,4632545.231196541,5270000.884276937,2769272.590588527,1329904.2747163882,4867354.3516664645,24539728.39779449,14873488.676296566,38776260.45963361
Portland - Interstate MAX,LRT,"Portland, OR",2002,Light Rail Transit,5.75,5.01,0.74,0.0,0.0,0.0,516990878,89911457,344175581,331529310,63436201,0.19,24,4557462.0,10,1760778.0,109379097,12646271,54505789,52433222,21548065,17607778,185434456,0.12,0.21,0.02,0.11,0.1,0.04,0.03,0.36,11032383,2199351,9479268,9118821,3747490,32249471,9.253705,8.0627934,1.1909116,0.0,0.0,55868528.092261426,6855222.016478805,1366616.7497234892,5890158.69859694,5666186.759789728,2328588.1168677844,20038942.05077858,11820032.840899942,1366617.0469017546,5890158.482467293,5666186.894870757,2328587.846705725,1902781.4264664801,20038941.807632726,6855221.881397775,35826656.45814298,581349058.967251,101104184.11932686,387020658.67757314,372800102.65202785,71333126.60848802,5124802.695220873,1979970.3958224156,122995274.8056759,14220556.025545262,61291002.398339294,58960429.60417758,24230499.692327563,19799701.709251944,208518469.24793148,12405761.393755766,2473139.640557995,10659305.156054175,10253987.512794774,4214000.435398752,36264082.04835221,62823383.57297206,7708601.907462541,1536741.546570641,6623401.615602778,6371548.282398234,2618464.9827872,22533511.90447774,13291462.695825715,1536741.8807434712,6623401.372567993,6371548.434294974,2618464.678993718,2139651.2758135195,22533511.63106361,7708601.7555658,40286577.39273381
Portland - South Corridor/Portland Mall,LRT,"Portland, OR",2006,Light Rail Transit,8.37,7.5,0.74,0.13,0.12,0.01,751765853,89815896,509580142,481967233,131520458,0.27,22,5030239.0,22,1984438.0,110665254,27612909,101585412,232849325,9491101,43657627,94383768,0.17,0.15,0.04,0.14,0.31,0.01,0.06,0.13,15713174,3299003,12136738,27819261,1133932,11276334,13.470175799999998,12.07005,1.1909116,0.20921420000000002,0.19312079999999998,55809149.09217443,9763737.929834591,2049910.5223259225,7541438.105061702,17286130.33914524,704594.4300147886,7006806.516957262,8215576.072882435,2049929.3706322678,7541506.02845139,17286287.013418194,704601.1233201575,3241058.4426077055,7006869.798982135,9763826.393416485,35780322.40677958,845350256.2675055,100996727.10260175,573015789.3039229,541965456.8017344,147892927.60643613,5656433.862708048,2231472.9581724913,124441540.48163263,31050332.502188433,114231384.3127431,261835830.63125068,10672611.200140236,49092394.95941986,106133235.6981806,17669245.83587851,3709683.035413514,13647593.246765323,31282372.45902498,1275090.778551131,12680080.903671993,62756612.712417364,10979187.639578031,2305095.8998182574,8480242.36442599,19438013.383762896,792306.6465452489,7879056.57205562,9238301.142412161,2305117.0944768544,8480318.74333393,19438189.56180592,792314.1730741359,3644525.1857381,7879127.731813316,10979287.115646712,40234475.3957654
Portland - Wilsonville to Beaverton,CRT,"Portland, OR",2007,Commuter Rail Transit,14.78,14.4,0.0,0.38,0.38,0.03,146675767,9923986,96150687,90844776,27663922,0.3,4,5715289.0,5,439371.0,22861158,5305911,15862844,40148496,6806203,2196856,25830377,0.19,0.16,0.04,0.11,0.27,0.05,0.01,0.18,1871723,358994,1073270,2716421,460503,1747666,23.7860452,23.174496,0.0,0.6115492,0.6115492,6166494.339294369,1163037.6427603862,223069.08422086074,666900.7170641382,1687909.9506630048,286144.00934544596,1085952.0051698212,961116.3944143181,223068.22993845146,666897.076273949,1687901.2741470784,286142.69176617893,92359.02738467847,1085946.687766321,1163031.5913130443,3819246.757338206,164934862.00108498,11159384.367907885,108120111.56317672,102153688.36680074,31107695.911886923,6426763.069262279,494066.58464774693,25707054.526021328,5966423.196375982,17837547.671284642,45146425.907635525,7653480.704528176,2470334.04772484,29045900.03562756,2104726.50679411,403683.7649481492,1206877.202420932,3054577.6711148834,517829.2250286009,1965226.1340074546,6934137.204013997,1307819.6694260442,250838.08576692882,749920.5900685574,1898031.2868100484,321764.9626732704,1221137.9410239318,1080762.0312611416,250837.12513822943,749916.4960505768,1898021.5301884455,321763.48107369174,103856.44300906482,1221131.9616775787,1307812.8646575902,4294689.911999358
Sacramento - Stage I,LRT,"Sacramento, CA",1985,Light Rail Transit,21.2,20.25,0.95,0.0,0.0,0.0,412088111,19438118,277021150,233182435,47933485,0.21,36,2420374.0,28,923680.0,87133476,43838715,49142366,30606077,10020350,25863029,117550614,0.12,0.21,0.11,0.12,0.07,0.02,0.06,0.29,2261013,2067864,2318036,1443683,472658,5544840,34.118007999999996,32.589135,1.528873,0.0,0.0,12078316.576981869,1404931.8354107896,1284914.312699616,1440364.3729727715,897065.256564803,293696.79495942435,3445412.4050853145,2553885.2092419937,1284914.2599415537,1440364.4550408688,897065.1803587127,293696.8066834383,758046.2786690244,3445412.5809455235,1404932.1109251163,6834585.2723875325,463387355.0500867,21857893.607543267,311506434.0971325,262210408.19784474,53900537.86939513,2721676.9330479386,1038665.3259032364,97980383.08355905,49296025.89928774,55259907.757065356,34416108.329534635,11267744.346975679,29082616.75594346,132184032.13281174,2542477.702793667,2325284.336007676,2606599.27398605,1623401.4742074767,531497.3536406243,6235095.537070524,13581899.168319479,1579826.3280560148,1444868.2913540183,1619669.7242261113,1008737.4167096305,330257.9651538049,3874318.377142508,2871808.43276545,1444868.2320283104,1619669.8165105465,1008737.3310169408,330257.9783372957,852412.507668779,3874318.5748948697,1579826.6378680472,7685396.175469704
Sacramento - Folsom Corridor,LRT,"Sacramento, CA",2002,Light Rail Transit,12.89,12.75,0.14,0.0,0.0,0.0,404098832,31344819,273496716,260977678,76849000,0.29,14,3839508.0,10,3125843.0,53753116,12519038,94281659,27070504,12565322,31258427,95801766,0.19,0.13,0.03,0.23,0.07,0.03,0.08,0.24,5960963,971067,7313165,2099783,974657,7431076,20.7443926,20.519085,0.22530760000000002,0.0,0.0,19476815.96182286,3703979.892378242,603394.5592603179,4544201.349621584,1304747.9090807412,605625.2873848907,4617468.0303727,2591211.8535589227,603490.2173997613,4544922.612002628,1304955.2484848362,605721.3745559365,1506837.4188020332,4618200.583033701,3704567.373064468,12580637.236879135,454403521.82184,35246813.44406392,307543257.0344761,293465772.7495885,86415632.71948923,4317473.39785216,3514967.0213898215,60444632.06787467,14077484.284887625,106018415.54643686,30440405.61614939,14129529.999793334,35149666.8404399,107727754.74676901,6703020.068738236,1091951.3489832822,8223552.429530944,2361176.8080082666,1095988.25410193,8356141.710713362,21901408.927923195,4165073.9239304536,678508.7980061903,5109891.278120809,1467170.8949061518,681017.2207873601,5192278.6426195605,2913781.7256637663,678616.3642548698,5110702.327646694,1467404.0451851736,681125.2694761154,1694417.7406495814,5193102.387908384,4165734.5377993486,14146751.770865947
