country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Guilin,Line 1,Line 1,2020.0,,0.0,29.27,0.06,1.9,13.0,0.0,0.239,2335.157831861861,79.77990542746365
CN,Guiyang,Line 1,Line 1 Phase 1,2013.0,2017.0,0.0,34.3,0.8454810495626823,29.0,25.0,0.0,0.3,8120.039448582015,236.73584398198298
CN,Guiyang,S1,S1 Phase 1,2016.0,2020.0,0.0,28.5,0.5298245614,15.1,12.0,0.0,0.251,4932.510496602183,173.07054374042747
CN,Guiyang,Line 2,Line 2 Phase 1,,2021.0,0.0,27.6,1.0,27.6,24.0,0.0,0.239000000000001,5229.648655209085,189.4800237394596
CN,Guiyang,Line 2,Line 2 Phase 2,2017.0,2022.0,0.0,12.8,0.8125,10.4,8.0,0.0,0.251,2700.6283647976934,210.98659099981978
CN,Guiyang,Line 3,Line 3 Phase 1,2018.0,2023.0,0.0,43.135,1.0,43.135,29.0,0.0,0.239,9371.84267709693,217.26771014482281
CN,Guiyang,S2,S2 Phase 1 North,2021.0,,0.0,30.32,0.75,22.64,13.0,0.0,0.239,4636.633534177584,152.92326959688603
CN,Hangzhou,Line 5,Line 5 Phase 1,2014.0,2020.0,0.0,51.6,1.0,51.6,36.0,0.0,0.239,10714.412246214099,207.64364818244377
CN,Hangzhou,Hanglin LIne,Hanglin Line (Hangzhou Section),2016.0,2020.0,0.0,14.26,0.3,4.32,6.0,0.0,0.237,1320.0108983819644,92.56738417825838
CN,Hangzhou,Hanglin LIne,Hanglin Line (Lin'an Section),2016.0,2020.0,0.0,20.72,0.42,8.64,6.0,0.0,0.237,1938.3166568833203,93.54810120093246
CN,Hangzhou,Line 3,Line 3 Phase 1,2017.0,2021.0,0.0,52.9,1.0,52.9,35.0,0.0,0.239,11835.330608961753,223.7302572582562
CN,Hangzhou,Hangfu Line,Hangfu Line,,2021.0,0.0,23.508,1.0,23.508,11.0,0.0,0.239000000000001,3573.8664791084025,152.02767054230063
CN,Hangzhou,Hangzhou-Haining Line,Hangzhou-Haining Line,,2021.0,0.0,48.18,0.31,14.81,12.0,0.0,0.239000000000001,3657.985911200517,75.9233273391556
CN,Hangzhou,Line 10,Line 10 Phase 1,,2021.0,0.0,15.184,1.0,15.184,12.0,0.0,0.239,4219.946717924493,277.9206215703697
CN,Hangzhou,Line 6,Line 6 Phase 1,,2021.0,0.0,26.955,1.0,26.955,19.0,0.0,0.239000000000001,4791.851355279202,177.77226322682998
CN,Hangzhou,Line 4,Line 4 Phase 2,2017.0,2022.0,0.0,23.9,1.0,23.9,15.0,0.0,0.239,5820.589819242614,243.53932298086255
CN,Hangzhou,Line 6,Line 6 Phase 2,2017.0,2022.0,0.0,8.366,1.0,8.366,5.0,0.0,0.239,1751.860785778039,209.40243674133862
CN,Hangzhou,Line 8,Line 8 Phase 1,2018.0,2022.0,0.0,17.1,1.0,17.1,9.0,0.0,0.239,3805.921777776061,222.5685250161439
CN,Hangzhou,K1 Airport Line,K1 Airport Line,2019.0,2022.0,0.0,59.1316,0.79,46.5,15.0,0.0,0.239000000000001,11611.706654862208,196.37058112518872
CN,Hangzhou,Line 3,Line 3 North Extension,2020.0,2022.0,0.0,4.7,1.0,4.7,4.0,0.0,0.239,3058.581230550479,650.7619639469104
CN,Hangzhou,Line 2,Line 2 Phase 1 Xiaoshan section,2008.0,,0.0,18.2,1.0,18.2,13.0,0.0,0.315,4680.853796742266,257.1897690517728
